item,ABC_group,XYZ_group
sku15682,A,X
sku3161,A,Z
sku21930,A,Z
sku16308,A,Z
sku16259,A,X
sku4926,A,Z
sku25462,A,Z
sku9921,A,Z
sku3600,A,X
sku6976,A,Z
sku5560,A,Z
sku29294,A,Z
sku28784,A,X
sku10700,A,Z
sku27993,A,Z
sku12237,A,X
sku3723,A,Z
sku10951,A,Z
sku6682,A,Z
sku9070,A,Z
sku26969,A,X
sku16450,A,Z
sku16830,A,Z
sku25437,A,Z
sku23583,A,X
sku18402,A,X
sku11492,A,X
sku19819,A,Z
sku21485,A,X
sku7694,A,Z
sku15464,A,Z
sku12935,A,Z
sku30145,A,Z
sku27730,A,Z
sku16652,A,Z
sku28516,A,Z
sku5071,A,X
sku25266,A,Z
sku20535,A,Z
sku7784,A,X
sku2915,A,Z
sku13219,A,Z
sku20546,A,Y
sku11336,A,X
sku5554,A,Z
sku17680,A,X
sku23376,A,Z
sku8406,A,Z
sku10585,A,Z
sku4681,A,Z
sku6245,A,Z
sku8383,A,Z
sku5575,A,Z
sku10628,A,Y
sku24087,A,Z
sku15217,A,Z
sku21042,A,X
sku26419,A,Z
sku28823,A,Z
sku10455,A,Z
sku6974,A,X
sku2186,A,Z
sku15080,A,Z
sku30451,A,Z
sku11709,A,Z
sku11058,A,X
sku11200,A,X
sku5657,A,Z
sku18926,A,Z
sku29658,A,Z
sku921,A,Z
sku26450,A,Z
sku4120,A,Z
sku26853,A,X
sku11843,A,X
sku30483,A,Y
sku26961,A,Z
sku24697,A,X
sku22654,A,Z
sku4151,A,Z
sku27190,A,X
sku16722,A,Z
sku16381,A,X
sku20165,A,X
sku18297,A,Z
sku25780,A,Z
sku25853,A,Y
sku10007,A,Z
sku26287,A,Z
sku8992,A,Z
sku4800,A,Z
sku23780,A,X
sku20994,A,X
sku21821,A,X
sku26861,A,X
sku21496,A,Z
sku24352,A,Z
sku11490,A,X
sku24295,A,X
sku6429,A,X
sku11569,A,X
sku18693,A,X
sku27834,A,Z
sku14755,A,Z
sku302,A,Z
sku4547,A,X
sku24476,A,X
sku3078,A,Z
sku13679,A,X
sku4575,A,Z
sku22076,A,Z
sku7286,A,Z
sku16315,A,Z
sku29187,A,X
sku18509,A,X
sku26668,A,Z
sku19318,A,Z
sku3603,A,X
sku25924,A,X
sku1462,A,Z
sku5379,A,Z
sku2601,A,X
sku25735,A,Z
sku29561,A,X
sku21239,A,Y
sku27356,A,Z
sku26888,A,Z
sku8450,A,X
sku2485,A,Z
sku22084,A,X
sku9835,A,Z
sku16680,A,Z
sku5017,A,Y
sku4591,A,Z
sku10999,A,Z
sku14962,A,Z
sku13631,A,Z
sku3375,A,Z
sku11499,A,Z
sku18256,A,X
sku5761,A,Z
sku19660,A,Z
sku27769,A,X
sku28998,A,Z
sku11114,A,Z
sku11882,A,Y
sku30340,A,Z
sku8940,A,Z
sku8350,A,Z
sku18022,A,Z
sku8529,A,Z
sku28087,A,Z
sku1940,A,X
sku439,A,Z
sku20111,A,Z
sku16230,A,Z
sku12518,A,Z
sku20589,A,Z
sku22772,A,Z
sku1506,A,Z
sku1232,A,Z
sku30489,A,Z
sku11012,A,Z
sku16873,A,Z
sku8826,A,Z
sku12856,A,X
sku11913,A,Z
sku26138,A,Z
sku12318,A,X
sku24765,A,X
sku24835,A,Z
sku11678,A,Y
sku4443,A,Z
sku24845,A,Z
sku21566,A,Z
sku26350,A,Z
sku15775,A,X
sku3390,A,Y
sku24288,A,X
sku10590,A,X
sku26586,A,Z
sku12520,A,Z
sku18811,A,X
sku18861,A,Z
sku12346,A,Z
sku27488,A,Z
sku3504,A,X
sku9295,A,Z
sku20847,A,Z
sku9339,A,Z
sku3625,A,Z
sku10378,A,Z
sku2271,A,X
sku4815,A,Z
sku11299,A,Z
sku4826,A,X
sku26642,A,Z
sku29417,A,X
sku26136,A,Z
sku6337,A,Z
sku20450,A,Z
sku15285,A,X
sku28816,A,Z
sku1647,A,Y
sku15379,A,Z
sku15230,A,X
sku27098,A,Z
sku3240,A,Z
sku26809,A,Z
sku9690,A,X
sku10911,A,X
sku10431,A,Z
sku9910,A,Z
sku23818,A,X
sku11677,A,Z
sku13422,A,Z
sku21745,A,Z
sku11988,A,Z
sku3209,A,X
sku16176,A,X
sku11750,A,X
sku20444,A,Z
sku15097,A,Y
sku6341,A,Z
sku11536,A,X
sku27385,A,Z
sku19767,A,Z
sku7391,A,Z
sku24225,A,Z
sku26009,A,Z
sku3071,A,Z
sku23745,A,X
sku2687,A,Z
sku11340,A,Z
sku18236,A,Z
sku16627,A,Z
sku12734,A,Z
sku27346,A,Z
sku17036,A,Z
sku1793,A,X
sku14207,A,X
sku10339,A,X
sku21806,A,Z
sku5479,A,Z
sku3021,A,Z
sku13030,A,Z
sku15990,A,Z
sku15766,A,Z
sku8893,A,Z
sku10217,A,X
sku29699,A,X
sku7803,A,Z
sku25948,A,Z
sku20927,A,Z
sku24371,A,Z
sku9657,A,Z
sku2552,A,X
sku11905,A,X
sku18302,A,X
sku16340,A,Z
sku28289,A,Z
sku15965,A,Z
sku20456,A,Y
sku746,A,Z
sku30207,A,Z
sku23210,A,Z
sku18463,A,X
sku374,A,Z
sku29460,A,Z
sku7202,A,X
sku20457,A,Z
sku406,A,Z
sku14656,A,Z
sku16531,A,Z
sku2033,A,X
sku15286,A,Z
sku6803,A,Z
sku15204,A,Z
sku602,A,Z
sku28572,A,X
sku10285,A,Z
sku23621,A,Z
sku23339,A,Z
sku22565,A,X
sku15608,A,Z
sku14768,A,Z
sku10088,A,Z
sku20611,A,Z
sku30066,A,Z
sku13447,A,Z
sku28251,A,Z
sku20566,A,Z
sku18813,A,X
sku14475,A,Z
sku15607,A,Z
sku24309,A,Z
sku18611,A,Z
sku20983,A,X
sku2868,A,X
sku717,A,Z
sku3082,A,Z
sku18388,A,Z
sku9514,A,Z
sku12462,A,Z
sku22127,A,Z
sku27077,A,Z
sku22976,A,Z
sku8676,A,Z
sku16343,A,X
sku13357,A,Z
sku1691,A,Z
sku9700,A,Z
sku9775,A,Z
sku29536,A,X
sku28842,A,Z
sku5073,A,X
sku8927,A,X
sku21350,A,Z
sku2679,A,Z
sku15920,A,X
sku17228,A,Z
sku15444,A,X
sku5767,A,Z
sku22416,A,X
sku18370,A,Z
sku6884,A,Z
sku30185,A,Z
sku18526,A,X
sku23053,A,Z
sku479,A,X
sku5380,A,Z
sku18127,A,Z
sku10900,A,Z
sku1341,A,Z
sku19439,A,Y
sku5349,A,Z
sku7205,A,Z
sku28304,A,Z
sku20716,A,Y
sku16279,A,X
sku22531,A,Z
sku12133,A,X
sku16121,A,X
sku10786,A,Z
sku3880,A,Y
sku25548,A,Z
sku9016,A,Z
sku18742,A,Z
sku55,A,X
sku4515,A,X
sku13775,A,Z
sku7066,A,X
sku780,A,X
sku2043,A,Z
sku27694,A,X
sku23121,A,Z
sku20952,A,X
sku26388,A,Z
sku47,A,Z
sku1339,A,Z
sku1300,A,X
sku28571,A,Z
sku12866,A,X
sku20556,A,X
sku26625,A,Z
sku30539,A,Z
sku28582,A,X
sku20185,A,Z
sku11757,A,Z
sku28270,A,Z
sku27242,A,Z
sku60,A,Z
sku19516,A,Z
sku10665,A,X
sku29640,A,Z
sku28800,A,Z
sku10716,A,X
sku7196,A,Z
sku6897,A,Z
sku1315,A,X
sku17896,A,Z
sku6901,A,Z
sku12213,A,Z
sku20662,A,Z
sku26570,A,Z
sku29369,A,Z
sku28804,A,Z
sku18009,A,Z
sku2347,A,Z
sku25369,A,Z
sku24070,A,X
sku5652,A,Z
sku13762,A,Z
sku27582,A,Z
sku12451,A,X
sku2973,A,X
sku24467,A,Z
sku1890,A,Y
sku22265,A,Y
sku24965,A,Z
sku3773,A,Z
sku2764,A,Z
sku10512,A,Z
sku4782,A,Y
sku985,A,X
sku4132,A,Z
sku1450,A,X
sku8823,A,Z
sku10143,A,Z
sku1146,A,Z
sku9026,A,Z
sku16310,A,Z
sku13382,A,Z
sku4016,A,Z
sku28749,A,Z
sku15606,A,X
sku18442,A,Z
sku4353,A,X
sku8186,A,X
sku7441,A,X
sku28618,A,X
sku18027,A,Y
sku29207,A,Z
sku4203,A,X
sku56,A,Z
sku5044,A,Z
sku11427,A,Z
sku4958,A,Z
sku26492,A,Z
sku19955,A,Z
sku579,A,Z
sku25886,A,Z
sku30292,A,X
sku1588,A,Z
sku28561,A,Z
sku27129,A,Z
sku12765,A,Z
sku16723,A,X
sku9507,A,X
sku541,A,Z
sku17935,A,Z
sku9075,A,Z
sku15209,A,X
sku29313,A,Z
sku3230,A,Z
sku29938,A,Z
sku12700,A,Z
sku12692,A,Z
sku3425,A,Z
sku1928,A,Z
sku15407,A,Z
sku7301,A,Z
sku2204,A,Z
sku2038,A,Z
sku6302,A,Z
sku27816,A,X
sku10855,A,Z
sku7760,A,Z
sku27327,A,Z
sku23804,A,X
sku6806,A,Z
sku27322,A,X
sku13322,A,Z
sku8396,A,X
sku28141,A,Z
sku928,A,Z
sku25629,A,Z
sku9332,A,Z
sku29463,A,Z
sku16471,A,Z
sku3362,A,Z
sku23248,A,Z
sku20013,A,X
sku24635,A,X
sku20029,A,Z
sku27210,A,Z
sku24079,A,X
sku19893,A,X
sku9351,A,Z
sku29551,A,Z
sku12868,A,Z
sku20517,A,X
sku6503,A,X
sku19376,A,Z
sku13250,A,Z
sku28264,A,Z
sku19056,A,Z
sku14387,A,Z
sku24208,A,Z
sku15329,A,Z
sku27576,A,Y
sku16778,A,Z
sku29414,A,X
sku11436,A,Z
sku3277,A,Z
sku29506,A,Z
sku14474,A,Z
sku26553,A,X
sku21784,A,Z
sku23881,A,Z
sku18799,A,Z
sku14682,A,Z
sku30328,A,Y
sku6249,A,X
sku27357,A,Z
sku17840,A,Z
sku26749,A,Z
sku7761,A,X
sku3822,A,X
sku8991,A,Y
sku18200,A,Z
sku10534,A,Z
sku26406,A,Z
sku14310,A,X
sku18271,A,X
sku14948,A,Z
sku10994,A,Z
sku14047,A,Z
sku1009,A,Z
sku29241,A,Y
sku18542,A,Z
sku25682,A,Z
sku22560,A,X
sku24707,A,Z
sku21795,A,Z
sku9436,A,Z
sku20351,A,Z
sku10282,A,Y
sku2468,A,Z
sku29487,A,Z
sku16167,A,Z
sku29292,A,Z
sku17398,A,Z
sku28872,A,Z
sku3083,A,Z
sku7623,A,X
sku6164,A,Z
sku23541,A,X
sku14612,A,Z
sku10990,A,Z
sku11134,A,Z
sku23768,A,X
sku14160,A,Z
sku11474,A,X
sku19506,A,Z
sku266,A,Z
sku17496,A,Z
sku7554,A,Z
sku2957,A,Z
sku4179,A,X
sku14446,A,Z
sku2446,A,Z
sku756,A,Z
sku28070,A,X
sku21612,A,Z
sku124,A,Y
sku19872,A,X
sku12104,A,Z
sku7345,A,Z
sku3971,A,Z
sku26349,A,X
sku13587,A,Z
sku25814,A,Y
sku2858,A,Z
sku23575,A,Z
sku15546,A,Z
sku14166,A,Z
sku13387,A,Z
sku12202,A,Z
sku22576,A,X
sku4373,A,Z
sku20973,A,X
sku28746,A,X
sku9607,A,Y
sku17793,A,Z
sku25242,A,Z
sku12841,A,Z
sku16138,A,Z
sku9004,A,Z
sku12466,A,Z
sku5781,A,X
sku28871,A,X
sku1759,A,Z
sku19145,A,Z
sku18920,A,Z
sku2110,A,X
sku2893,A,Z
sku3055,A,X
sku20650,A,Z
sku20796,A,X
sku5062,A,Z
sku22970,A,X
sku24251,A,Z
sku30103,A,X
sku25204,A,Z
sku12950,A,Z
sku9570,A,Y
sku1091,A,X
sku22714,A,Y
sku13326,A,Z
sku15820,A,X
sku6202,A,Z
sku14397,A,X
sku13009,A,Z
sku29518,A,Z
sku16682,A,X
sku15252,A,Z
sku24905,A,X
sku6865,A,Z
sku15804,A,Z
sku8244,A,Z
sku15090,A,Z
sku14171,A,Z
sku10257,A,Z
sku15227,A,X
sku17352,A,Z
sku24417,A,Z
sku4516,A,Z
sku16760,A,Z
sku3712,A,Z
sku18053,A,Y
sku9549,A,Z
sku18873,A,Z
sku19750,A,X
sku24338,A,Z
sku16612,A,Z
sku12030,A,X
sku15193,A,X
sku13353,A,X
sku29439,A,Z
sku28422,A,X
sku11413,A,X
sku30568,A,Z
sku19245,A,Z
sku22322,A,Z
sku23625,A,X
sku24736,A,Z
sku353,A,Z
sku3149,A,Z
sku3533,A,Z
sku8694,A,Z
sku28886,A,Z
sku8608,A,Z
sku8299,A,Z
sku4414,A,Z
sku28470,A,Z
sku2969,A,Z
sku1609,A,Z
sku15803,A,Z
sku23069,A,X
sku27708,A,Z
sku16783,A,Z
sku29555,A,Z
sku23587,A,Z
sku7463,A,X
sku1397,A,X
sku8138,A,X
sku4184,A,X
sku7907,A,X
sku1314,A,Z
sku4566,A,Y
sku20437,A,Z
sku20023,A,Z
sku24795,A,Z
sku30070,A,Z
sku3250,A,Z
sku21156,A,Z
sku24878,A,Z
sku6871,A,Z
sku3687,A,Z
sku22048,A,X
sku8912,A,X
sku10401,A,Z
sku24783,A,Z
sku17044,A,Y
sku4078,A,X
sku6090,A,X
sku9630,A,X
sku1278,A,Z
sku12563,A,Z
sku28533,A,Z
sku29181,A,Z
sku5266,A,Y
sku7672,A,Z
sku29936,A,Z
sku7119,A,Z
sku24469,A,Z
sku28683,A,Y
sku16970,A,Z
sku20195,A,X
sku28386,A,Z
sku19520,A,Z
sku13714,A,Z
sku16092,A,Z
sku16436,A,Z
sku24634,A,Z
sku6250,A,X
sku17929,A,X
sku29916,A,X
sku27235,A,X
sku4479,A,Z
sku6363,A,X
sku20742,A,Z
sku9356,A,Z
sku16227,A,Z
sku5025,A,Z
sku17107,A,Z
sku29153,A,Y
sku3380,A,Z
sku3184,A,Y
sku6912,A,Z
sku7263,A,Z
sku30001,A,X
sku19695,A,Z
sku18205,A,Z
sku19605,A,Z
sku29004,A,Z
sku3039,A,Z
sku53,A,Z
sku5668,A,X
sku12542,A,Z
sku29527,A,Z
sku9440,A,Z
sku23584,A,X
sku29023,A,Z
sku14634,A,Z
sku16110,A,Z
sku25186,A,Z
sku11186,A,Z
sku30429,A,X
sku28379,A,Z
sku29331,A,X
sku21159,A,X
sku18988,A,X
sku10555,A,Z
sku19704,A,X
sku24020,A,X
sku21856,A,Y
sku22273,A,Z
sku9179,A,Z
sku4584,A,Z
sku24688,A,Z
sku19794,A,Z
sku8393,A,Z
sku19214,A,Z
sku6058,A,Z
sku20310,A,Z
sku14214,A,X
sku29102,A,Z
sku18706,A,X
sku22749,A,Z
sku27330,A,Y
sku30405,A,X
sku7902,A,Z
sku796,A,Z
sku4541,A,Z
sku4503,A,Z
sku24067,A,Z
sku6473,A,Z
sku30531,A,Z
sku20666,A,Z
sku5607,A,Y
sku23381,A,X
sku9686,A,X
sku19017,A,Z
sku27785,A,X
sku24232,A,Z
sku10738,A,X
sku423,A,Z
sku21475,A,X
sku13180,A,X
sku7183,A,X
sku24289,A,X
sku5270,A,X
sku14380,A,Z
sku19832,A,Z
sku21936,A,Z
sku22161,A,Z
sku3491,A,Z
sku5679,A,X
sku4508,A,Z
sku1187,A,Z
sku22307,A,Z
sku29759,A,Z
sku16517,A,Z
sku26421,A,X
sku24111,A,X
sku22404,A,Z
sku11269,A,Z
sku9405,A,Z
sku21637,A,X
sku10523,A,Z
sku27039,A,X
sku30477,A,Z
sku26162,A,Z
sku6644,A,Z
sku2173,A,Z
sku12932,A,Z
sku27685,A,X
sku23865,A,Y
sku12002,A,Y
sku5357,A,Z
sku23660,A,X
sku29565,A,Z
sku6531,A,Z
sku6477,A,Z
sku22165,A,Z
sku29632,A,Z
sku27919,A,Y
sku22113,A,Z
sku23522,A,Z
sku5540,A,Z
sku19140,A,Z
sku20183,A,X
sku29475,A,X
sku7977,A,X
sku15987,A,X
sku13927,A,Z
sku27474,A,X
sku7989,A,Z
sku11889,A,Z
sku598,A,Z
sku23935,A,Z
sku9500,A,Z
sku30368,A,Z
sku6585,A,Y
sku1084,A,Z
sku9687,A,X
sku1962,A,X
sku8335,A,Z
sku26027,A,X
sku16519,A,Z
sku1290,A,X
sku26190,A,X
sku18391,A,Z
sku27938,A,Y
sku653,A,Z
sku11073,A,Z
sku394,A,X
sku8979,A,Z
sku4211,A,Z
sku1685,A,X
sku22867,A,X
sku11806,A,X
sku24191,A,X
sku15364,A,Z
sku23380,A,Z
sku3099,A,Z
sku9627,A,Z
sku8457,A,Z
sku5300,A,Z
sku5921,A,Z
sku2629,A,Z
sku23979,A,X
sku24930,A,Z
sku10201,A,X
sku23766,A,Z
sku21489,A,Z
sku17820,A,Z
sku5827,A,Z
sku26814,A,X
sku20011,A,Z
sku17968,A,Z
sku15259,A,Z
sku14393,A,X
sku6002,A,Z
sku13651,A,Z
sku26404,A,X
sku8472,A,Z
sku22320,A,Z
sku23949,A,X
sku3117,A,X
sku12349,A,X
sku11428,A,Z
sku21272,A,Z
sku20265,A,Z
sku2081,A,X
sku11414,A,Z
sku3305,A,Z
sku17549,A,Z
sku3818,A,Z
sku9215,A,X
sku21165,A,X
sku14141,A,X
sku21952,A,Z
sku3782,A,Z
sku5154,A,Z
sku5563,A,Z
sku6690,A,Z
sku26014,A,X
sku29661,A,Z
sku22116,A,Z
sku20528,A,X
sku6700,A,X
sku13462,A,Z
sku6641,A,Z
sku12792,A,Z
sku14828,A,Z
sku9476,A,Z
sku18944,A,Z
sku19202,A,Y
sku9885,A,Z
sku16298,A,Z
sku18632,A,Y
sku8614,A,Z
sku8374,A,Z
sku23124,A,Z
sku15912,A,Z
sku15569,A,Z
sku15295,A,Y
sku12254,A,Z
sku27533,A,X
sku20249,A,X
sku11009,A,Z
sku30081,A,Z
sku5174,A,Z
sku10232,A,Z
sku978,A,Z
sku20408,A,Z
sku25945,A,Z
sku29957,A,Z
sku14138,A,X
sku217,A,X
sku10467,A,X
sku2754,A,X
sku4801,A,Z
sku17380,A,Z
sku5800,A,Z
sku24278,A,Z
sku21356,A,Z
sku5642,A,Z
sku6663,A,X
sku6573,A,Z
sku12250,A,Z
sku6837,A,X
sku6201,A,X
sku12540,A,Z
sku6839,A,Z
sku15292,A,Z
sku378,A,Z
sku753,A,Z
sku11714,A,Z
sku19534,A,Y
sku25447,A,X
sku8882,A,X
sku9712,A,Z
sku16097,A,Z
sku10697,A,Z
sku13620,A,Z
sku16673,A,Y
sku13154,A,Z
sku19261,A,Z
sku30204,A,Z
sku4596,A,Z
sku2161,A,Z
sku6970,A,X
sku4328,A,X
sku23532,A,X
sku7774,A,Z
sku20805,A,Z
sku25311,A,Z
sku18798,A,Z
sku20191,A,Z
sku23913,A,Z
sku15300,A,Z
sku12677,A,X
sku7809,A,Z
sku21476,A,X
sku5992,A,Z
sku12169,A,Z
sku17,A,X
sku14998,A,Z
sku10833,A,X
sku10452,A,Z
sku26568,A,X
sku13400,A,Z
sku26920,A,X
sku17890,A,X
sku18472,A,Z
sku20748,A,Z
sku21372,A,X
sku12225,A,Z
sku22262,A,Z
sku14318,A,Z
sku22046,A,Y
sku24604,A,Z
sku7376,A,X
sku9080,A,X
sku18887,A,X
sku18549,A,Z
sku19397,A,Z
sku22325,A,X
sku4246,A,Z
sku29795,A,Z
sku28934,A,Z
sku6315,A,Z
sku3033,A,Z
sku1237,A,X
sku25611,A,X
sku1936,A,Z
sku13777,A,Z
sku7145,A,X
sku24403,A,X
sku22072,A,Z
sku4193,A,Z
sku27698,A,X
sku19907,A,Z
sku14398,A,Z
sku10367,A,X
sku24502,A,Y
sku7802,A,Z
sku25197,A,Z
sku8047,A,X
sku7507,A,X
sku17447,A,Z
sku1327,A,X
sku25513,A,Z
sku10385,A,Z
sku27549,A,X
sku7581,A,Z
sku27553,A,Z
sku16472,A,Z
sku270,A,Z
sku1035,A,X
sku16401,A,Z
sku28883,A,Z
sku30099,A,Z
sku14909,A,Z
sku4933,A,Z
sku6096,A,Z
sku10090,A,Z
sku20707,A,Z
sku14440,A,Z
sku16465,A,Z
sku17238,A,Z
sku16407,A,X
sku16477,A,Y
sku25627,A,Z
sku13069,A,X
sku6978,A,X
sku1581,A,Z
sku18141,A,Z
sku28687,A,Z
sku12214,A,Z
sku30193,A,Z
sku12333,A,X
sku3722,A,Z
sku11376,A,Z
sku13012,A,Z
sku30170,A,X
sku22821,A,Z
sku14252,A,Z
sku7498,A,Z
sku11332,A,Z
sku5393,A,X
sku3283,A,X
sku1213,A,Z
sku13656,A,Z
sku27340,A,Z
sku19464,A,Z
sku28489,A,X
sku29388,A,Z
sku1170,A,Z
sku1589,A,Z
sku17846,A,Z
sku24491,A,Z
sku735,A,X
sku11903,A,Z
sku26412,A,Z
sku8812,A,Z
sku9282,A,Z
sku7602,A,X
sku2002,A,Z
sku24625,A,Z
sku14,A,X
sku4018,A,Z
sku11564,A,X
sku20356,A,Z
sku4207,A,X
sku26989,A,X
sku20920,A,X
sku18695,A,Z
sku1154,A,Z
sku27200,A,Z
sku17767,A,Z
sku3601,A,X
sku17835,A,Z
sku7794,A,Z
sku16287,A,Z
sku345,A,Z
sku15807,A,Z
sku19595,A,Z
sku29493,A,X
sku3158,A,Z
sku15125,A,X
sku2326,A,Z
sku173,A,X
sku12585,A,Z
sku17790,A,Z
sku9147,A,X
sku7247,A,Z
sku4817,A,X
sku26110,A,X
sku20277,A,Z
sku9639,A,Z
sku22340,A,Z
sku24870,A,Z
sku27583,A,Z
sku26185,A,Z
sku16385,A,Z
sku25915,A,Z
sku10520,A,X
sku17866,A,Z
sku24495,A,Z
sku10228,A,Z
sku26833,A,Z
sku2646,A,X
sku29246,A,X
sku12711,A,Z
sku16371,A,X
sku3877,A,Z
sku28831,A,X
sku20681,A,Z
sku10457,A,Z
sku11000,A,X
sku21155,A,Z
sku26557,A,Z
sku23104,A,Z
sku23838,A,Z
sku4513,A,X
sku20115,A,Z
sku14003,A,Z
sku7249,A,X
sku13488,A,X
sku29043,A,Z
sku28260,A,X
sku21192,A,Z
sku12323,A,X
sku29002,A,Z
sku21892,A,Z
sku16545,A,Z
sku24620,A,Z
sku7704,A,Z
sku7590,A,Z
sku23991,A,X
sku20079,A,Z
sku14537,A,Z
sku26394,A,X
sku1349,A,X
sku5791,A,X
sku17372,A,Y
sku16240,A,Y
sku16193,A,Z
sku5626,A,Z
sku4729,A,Z
sku6345,A,Z
sku4123,A,Z
sku10627,A,Z
sku27231,A,Z
sku10138,A,Z
sku5692,A,Z
sku10876,A,Z
sku26311,A,Z
sku10362,A,Z
sku11239,A,Z
sku17426,A,Z
sku28139,A,Z
sku2728,A,Z
sku28150,A,X
sku1836,A,X
sku14627,A,Z
sku20189,A,Z
sku5502,A,Z
sku27341,A,Z
sku24355,A,Z
sku16688,A,Z
sku1708,A,Z
sku8267,A,Y
sku23511,A,Z
sku15988,A,X
sku6458,A,Z
sku5671,A,X
sku2003,A,Z
sku15699,A,Z
sku6633,A,Y
sku26294,A,Z
sku3711,A,Z
sku23090,A,Z
sku28798,A,Z
sku26754,A,Z
sku3463,A,Z
sku14716,A,Z
sku3691,A,Z
sku3378,A,Z
sku8006,A,Z
sku13056,A,X
sku8042,A,Z
sku16187,A,Z
sku23001,A,Z
sku3391,A,Z
sku7647,A,Z
sku15129,A,Z
sku19020,A,Z
sku18490,A,Z
sku27136,A,X
sku14094,A,Z
sku5812,A,Z
sku25417,A,Z
sku7787,A,Z
sku9089,A,X
sku11924,A,Z
sku21561,A,Z
sku8298,A,Z
sku14918,A,Z
sku18264,A,X
sku11352,A,X
sku11822,A,Z
sku7496,A,Z
sku11670,A,X
sku473,A,Z
sku18740,A,Z
sku4518,A,Z
sku25512,A,Z
sku30534,A,Z
sku27123,A,Z
sku2333,A,Z
sku26376,A,X
sku1992,A,Z
sku13858,A,Z
sku24227,A,Z
sku1283,A,Z
sku16561,A,X
sku8459,A,Z
sku6720,A,X
sku13445,A,Z
sku17690,A,Z
sku18603,A,Z
sku20762,A,Z
sku3045,A,Z
sku18989,A,Z
sku12582,A,Z
sku7595,A,Z
sku27677,A,Z
sku17729,A,X
sku17951,A,Z
sku29830,A,Z
sku22942,A,Z
sku22387,A,Y
sku20180,A,Z
sku4971,A,X
sku23040,A,Z
sku9532,A,Z
sku16968,A,Z
sku24085,A,X
sku19676,A,Z
sku2400,A,Z
sku12314,A,X
sku7997,A,Z
sku11610,A,Z
sku9550,A,Z
sku29713,A,Z
sku9184,A,Z
sku28550,A,X
sku3051,A,Z
sku4108,A,X
sku15096,A,Z
sku6662,A,Z
sku9876,A,Z
sku1323,A,X
sku6340,A,Z
sku21767,A,Z
sku20176,A,Z
sku12610,A,X
sku9381,A,Y
sku28019,A,Z
sku27386,A,Z
sku3227,A,Z
sku25247,A,Z
sku3110,A,Z
sku20318,A,Y
sku27002,A,Z
sku8767,A,Z
sku22817,A,Z
sku26499,A,X
sku27743,A,Z
sku19308,A,Z
sku29018,A,Z
sku20694,A,Z
sku7757,A,Y
sku3364,A,Z
sku27890,A,Z
sku7451,A,Z
sku3437,A,Z
sku3302,A,Z
sku2051,A,Z
sku21550,A,Z
sku27607,A,Z
sku19198,A,X
sku19033,A,X
sku13108,A,X
sku3449,A,Z
sku28947,A,Z
sku14144,A,Z
sku6749,A,Z
sku18724,A,Z
sku10897,A,Z
sku6266,A,Z
sku12620,A,Z
sku8137,A,Z
sku6657,A,Z
sku22234,A,Y
sku29956,A,Z
sku16285,A,Z
sku27958,A,Z
sku7001,A,Z
sku29337,A,Z
sku13685,A,Z
sku21178,A,X
sku6062,A,Z
sku4327,A,Z
sku17725,A,X
sku10939,A,Z
sku526,A,Z
sku21846,A,Z
sku7068,A,Z
sku28672,A,X
sku4938,A,Z
sku6353,A,Z
sku19731,A,Z
sku14743,A,X
sku9749,A,X
sku21798,A,X
sku7833,A,Z
sku30007,A,Z
sku23946,A,Z
sku16865,A,X
sku22739,A,Z
sku18218,A,Z
sku19968,A,Z
sku10901,A,X
sku11367,A,Z
sku21625,A,X
sku10304,A,Z
sku4851,A,Z
sku17336,A,X
sku2276,A,Y
sku5571,A,Z
sku12624,A,Z
sku22939,A,Z
sku557,A,Z
sku28583,A,Z
sku20968,A,Z
sku28509,A,X
sku18477,A,Z
sku27522,A,X
sku15885,A,Z
sku12054,A,Z
sku16754,A,Z
sku7433,A,Z
sku7435,A,Z
sku4627,A,X
sku2009,A,X
sku29682,A,Z
sku13655,A,Z
sku14060,A,Z
sku5674,A,X
sku22359,A,X
sku13125,A,Z
sku17745,A,Z
sku28073,A,Z
sku13313,A,Z
sku28257,A,Z
sku28765,A,Z
sku19583,A,Z
sku948,A,Z
sku8059,A,X
sku11326,A,X
sku9137,A,Z
sku6918,A,Z
sku1143,A,Z
sku22619,A,Z
sku1302,A,Z
sku25009,A,X
sku7781,A,Z
sku29941,A,Z
sku25271,A,Y
sku26926,A,Z
sku9562,A,X
sku28284,A,Z
sku9280,A,Y
sku14021,A,Z
sku24969,A,Z
sku2402,A,Z
sku12308,A,Z
sku18489,A,Z
sku11983,A,Z
sku27867,A,Z
sku23675,A,Z
sku9682,A,Z
sku27517,A,Z
sku23423,A,X
sku15554,A,Z
sku11388,A,Z
sku23681,A,X
sku14839,A,X
sku23741,A,Z
sku20220,A,Z
sku17158,A,Z
sku26706,A,Z
sku15663,A,Z
sku23723,A,Z
sku25978,A,Y
sku3325,A,Z
sku18689,A,Z
sku23751,A,Z
sku6132,A,Z
sku21082,A,Z
sku6156,A,X
sku3675,A,Z
sku1840,A,Z
sku2423,A,Z
sku6397,A,X
sku11328,A,Z
sku5301,A,Z
sku28101,A,Z
sku4724,A,Z
sku4532,A,Z
sku25634,A,Z
sku13952,A,Z
sku15878,A,Z
sku29669,A,Z
sku16730,A,Z
sku3182,A,X
sku10076,A,Z
sku9304,A,Z
sku28029,A,Z
sku582,A,Z
sku9229,A,Z
sku27548,A,Z
sku22136,A,Z
