total_quantity,total_amount,unique_visits
112,17928,15
20,17922,2
35,17920,7
62,17918,20
27,17916,8
108,17913,25
59,17912,9
17,17909,5
135,17907,2
3,17904,2
30,17902,3
126,17898,34
88,17894,6
56,17894,2
122,17893,9
14,17885,4
99,17883,3
37,17883,2
53,17881,7
34,17880,8
2,17880,1
99,17879,8
51,17879,6
64,17878,17
22,17872,12
5,17871,4
55,17868,7
152,17863,4
64,17863,6
33,17855,2
21,17855,5
80,17854,16
88,17853,17
94,17852,6
79,17852,5
49,17849,4
71,17848,11
84,17848,15
184,17842,12
22,17837,8
98,17835,4
90,17832,5
50,17827,5
20,17823,2
63,17823,4
27,17821,7
30,17818,3
83,17815,9
6,17815,2
169,17814,5
110,17813,7
98,17813,5
173,17813,6
160,17813,19
21,17812,3
8,17810,3
161,17807,12
59,17804,3
76,17803,19
107,17803,23
36,17802,4
55,17801,7
81,17801,15
26,17801,2
58,17799,3
58,17798,11
162,17791,9
4,17787,1
28,17785,4
77,17785,8
16,17782,4
62,17781,5
13,17780,2
28,17777,2
8,17776,6
46,17776,4
109,17771,16
24,17771,6
55,17770,4
60,17769,4
121,17768,16
52,17767,3
14,17766,2
123,17766,5
66,17764,15
53,17763,12
51,17760,14
98,17760,13
115,17760,17
16,17752,3
80,17752,12
38,17752,15
48,17751,8
51,17750,11
83,17749,8
8,17748,4
116,17746,22
165,17746,3
37,17745,5
22,17745,2
82,17743,8
20,17737,2
40,17733,6
27,17730,4
35,17730,6
56,17728,11
52,17725,2
69,17722,5
11,17721,2
78,17719,7
87,17718,16
38,17716,7
86,17716,20
74,17711,10
41,17708,7
74,17707,3
50,17704,12
127,17704,24
6,17702,4
6,17701,2
65,17701,7
109,17694,10
44,17691,11
24,17691,3
135,17691,30
7,17690,4
7,17689,1
3,17688,1
18,17688,5
103,17684,5
98,17684,13
51,17682,12
31,17681,5
78,17673,15
78,17672,14
31,17672,10
25,17669,5
44,17665,4
39,17662,3
75,17662,11
50,17660,5
20,17657,5
55,17657,8
32,17657,4
258,17655,19
69,17649,12
36,17648,3
56,17647,4
23,17643,3
35,17643,9
132,17642,17
149,17636,18
6,17635,1
12,17633,6
23,17632,5
97,17631,8
82,17630,28
66,17629,11
45,17626,7
140,17625,6
28,17623,2
96,17623,18
63,17621,9
60,17611,11
122,17611,4
19,17610,3
65,17609,12
89,17600,7
40,17598,5
4,17596,1
70,17592,4
50,17592,6
57,17592,16
63,17589,15
91,17587,5
62,17585,5
9,17581,5
237,17581,14
134,17581,7
64,17576,4
22,17575,3
61,17574,5
35,17569,3
32,17569,6
88,17568,5
37,17568,9
30,17565,4
24,17563,4
131,17563,27
7,17562,2
90,17562,12
63,17561,10
84,17561,10
27,17555,8
68,17555,2
57,17554,6
16,17551,4
66,17549,21
92,17548,12
116,17547,11
129,17547,23
61,17546,12
8,17546,3
80,17544,3
49,17541,9
60,17539,12
78,17530,12
93,17528,15
21,17525,4
172,17523,27
27,17522,5
18,17521,2
149,17518,5
174,17517,13
20,17517,2
34,17516,7
221,17515,32
103,17514,20
44,17512,5
66,17506,13
17,17501,3
112,17497,10
83,17495,14
7,17494,2
59,17489,12
4,17487,1
18,17486,3
131,17484,28
46,17484,8
32,17482,9
22,17482,3
119,17481,20
63,17472,6
31,17471,11
33,17471,1
24,17469,1
7,17469,4
137,17468,4
139,17467,8
25,17466,2
64,17466,12
38,17464,6
71,17463,9
32,17463,4
138,17462,10
174,17461,9
71,17461,12
95,17451,23
209,17451,10
118,17444,8
34,17444,2
18,17444,4
110,17442,4
38,17434,5
24,17433,4
115,17430,19
21,17429,5
166,17429,4
46,17429,8
121,17428,16
13,17427,4
63,17426,6
88,17426,10
122,17425,14
36,17425,6
40,17425,10
9,17423,4
100,17422,14
120,17418,21
60,17417,9
74,17417,12
72,17416,9
82,17415,14
112,17412,7
60,17409,8
50,17407,7
66,17404,8
117,17403,10
73,17403,6
17,17401,2
133,17401,17
97,17395,24
91,17394,10
36,17392,13
12,17392,3
78,17391,20
37,17391,8
3,17388,2
46,17386,6
48,17386,9
35,17385,7
46,17384,1
28,17384,4
38,17383,10
31,17381,6
2,17380,1
87,17380,6
186,17379,29
150,17377,13
78,17375,7
167,17375,18
69,17371,5
85,17371,15
4,17370,1
82,17370,18
64,17365,6
85,17361,21
68,17360,4
4,17358,2
31,17357,11
24,17357,5
64,17355,15
77,17354,5
69,17351,7
75,17348,18
108,17348,23
90,17345,15
22,17342,8
101,17338,28
59,17338,14
41,17337,11
45,17336,2
33,17335,4
71,17329,11
58,17329,17
92,17329,7
10,17329,2
93,17325,8
20,17324,4
44,17322,6
17,17320,3
66,17320,7
47,17320,14
258,17318,36
30,17318,9
82,17317,11
28,17316,4
173,17315,27
103,17313,16
51,17313,1
102,17310,14
48,17310,5
28,17307,1
36,17303,5
210,17299,6
8,17297,2
71,17295,9
9,17290,1
192,17289,71
15,17288,4
20,17286,3
115,17283,9
100,17281,16
71,17278,7
29,17278,3
29,17270,6
83,17269,11
41,17269,3
38,17268,8
56,17263,2
131,17262,18
152,17260,10
46,17256,3
55,17254,14
25,17253,4
18,17252,4
25,17251,5
40,17251,3
104,17247,9
147,17247,17
41,17243,9
79,17241,11
95,17240,22
77,17238,21
89,17231,5
99,17229,34
335,17228,20
34,17227,6
43,17225,8
69,17225,17
105,17220,8
2,17219,1
41,17215,6
57,17214,6
86,17210,12
9,17207,6
48,17205,3
41,17203,1
27,17202,5
28,17201,2
36,17197,4
183,17197,9
193,17196,10
65,17196,4
8,17188,3
3,17188,1
55,17188,12
62,17188,18
29,17186,7
108,17185,16
66,17184,8
66,17183,6
44,17180,2
24,17179,2
41,17178,4
14,17176,5
47,17173,7
86,17173,28
62,17173,9
85,17172,6
183,17172,7
103,17171,4
92,17170,6
56,17166,7
75,17166,15
15,17166,3
58,17165,13
28,17161,3
109,17160,8
70,17159,10
82,17158,17
21,17158,3
95,17157,20
31,17154,8
120,17153,12
54,17152,12
151,17148,16
21,17146,8
5,17145,4
8,17145,1
60,17144,8
38,17142,4
16,17138,5
71,17138,13
72,17133,3
99,17131,10
28,17126,2
59,17120,8
70,17119,5
44,17117,5
73,17116,3
19,17113,9
173,17111,18
2,17109,1
97,17107,5
54,17105,10
75,17101,9
133,17101,4
87,17100,12
251,17097,6
55,17095,12
5,17095,1
73,17095,12
114,17091,28
71,17088,21
39,17085,15
70,17081,17
159,17073,15
68,17072,5
63,17069,1
76,17061,26
90,17060,6
53,17057,7
5,17055,3
7,17055,2
85,17052,9
104,17048,26
24,17046,6
34,17042,9
15,17041,5
75,17040,13
24,17040,8
131,17039,3
134,17036,16
6,17035,1
19,17033,1
158,17032,12
43,17030,9
125,17030,15
3,17029,2
172,17029,23
48,17023,5
63,17020,4
147,17019,11
81,17018,13
29,17014,6
37,17011,2
94,17010,4
53,17010,1
62,17007,6
6,17006,1
23,17005,2
25,17005,4
19,17005,6
101,17004,21
42,17004,5
10,17002,3
81,16999,5
99,16998,9
116,16997,10
27,16994,3
7,16993,2
7,16993,1
9,16991,1
1,16990,1
1,16990,1
2,16989,1
109,16987,5
18,16985,3
35,16985,5
73,16983,11
71,16982,8
89,16976,7
86,16975,8
55,16975,22
174,16972,6
33,16971,3
124,16971,13
36,16970,8
98,16969,15
26,16968,7
48,16966,5
94,16965,13
5,16965,2
106,16962,7
39,16961,6
34,16959,7
29,16958,5
33,16957,11
48,16953,2
81,16952,12
76,16951,9
12,16950,4
53,16950,4
108,16949,25
20,16941,3
24,16940,6
21,16934,1
180,16934,20
38,16932,3
16,16931,3
12,16931,3
118,16929,20
32,16925,6
79,16924,6
77,16924,16
55,16920,7
38,16919,5
153,16918,11
60,16916,8
47,16915,8
18,16914,1
66,16913,7
70,16912,8
86,16911,9
76,16910,15
27,16908,6
12,16907,2
77,16903,7
78,16903,9
24,16898,11
25,16895,7
43,16894,3
25,16893,2
23,16891,4
81,16890,23
123,16886,27
31,16883,7
58,16882,5
6,16879,2
6,16878,2
61,16877,6
45,16874,6
96,16873,40
71,16872,10
75,16869,6
37,16869,4
56,16865,9
31,16864,3
71,16864,6
71,16864,10
74,16863,13
50,16859,7
25,16857,3
35,16857,4
64,16855,9
41,16855,5
15,16854,3
124,16852,7
106,16850,22
87,16850,10
142,16845,25
37,16842,6
22,16840,3
20,16836,4
42,16835,7
48,16835,19
113,16834,12
108,16833,5
16,16830,1
2,16829,2
100,16827,10
29,16826,7
124,16825,12
76,16824,23
8,16824,3
13,16823,1
87,16823,8
126,16820,7
66,16819,11
87,16818,5
65,16818,11
22,16816,3
34,16808,4
17,16807,3
13,16807,3
94,16806,23
29,16805,6
54,16800,13
104,16797,13
26,16792,4
113,16792,10
57,16792,3
76,16790,7
62,16782,12
89,16781,4
56,16779,7
67,16771,6
160,16770,32
85,16767,13
67,16766,9
159,16766,25
28,16766,1
202,16764,36
39,16763,5
103,16763,21
79,16763,9
39,16762,6
23,16762,8
227,16762,3
65,16761,14
18,16760,3
40,16758,7
147,16757,15
76,16756,11
79,16755,14
30,16755,8
79,16750,5
97,16749,9
99,16742,12
54,16741,6
10,16741,3
87,16741,5
45,16735,7
76,16734,13
96,16733,8
65,16727,5
6,16720,2
20,16719,4
66,16718,4
20,16717,5
11,16713,3
64,16709,2
50,16706,7
24,16703,10
88,16700,7
48,16699,7
60,16699,8
22,16699,6
35,16698,7
150,16697,26
37,16697,7
3,16697,1
501,16697,12
68,16696,17
1,16690,1
146,16688,16
98,16685,18
120,16685,15
32,16683,2
34,16678,8
20,16675,2
18,16675,3
29,16674,8
62,16672,4
41,16671,8
23,16664,2
8,16663,3
64,16661,3
137,16660,6
4,16657,2
42,16656,7
39,16655,3
48,16654,10
45,16652,4
72,16651,11
34,16648,6
39,16648,9
93,16646,16
187,16644,7
93,16644,8
75,16643,7
20,16642,6
100,16642,20
229,16642,25
75,16639,9
37,16635,6
42,16633,7
7,16633,1
44,16631,1
39,16626,4
16,16624,4
58,16624,3
56,16623,7
36,16623,16
28,16622,4
47,16619,9
28,16617,12
52,16615,2
52,16613,5
56,16613,2
104,16612,20
128,16611,16
134,16609,20
58,16604,2
42,16603,6
59,16599,6
79,16597,19
47,16596,9
9,16596,4
34,16594,3
45,16592,11
85,16592,6
90,16591,8
33,16590,5
96,16585,19
87,16584,21
128,16584,4
72,16582,1
68,16581,8
72,16578,17
84,16577,6
30,16572,1
19,16571,1
14,16570,4
29,16569,4
7,16569,3
43,16566,4
92,16564,5
58,16564,4
42,16563,4
111,16561,27
113,16557,6
47,16556,3
103,16553,8
51,16549,12
31,16546,4
95,16545,17
30,16543,2
27,16543,2
82,16542,10
15,16542,6
66,16541,15
59,16539,6
33,16537,4
134,16537,26
24,16536,3
65,16535,10
64,16534,11
15,16533,1
7,16533,1
7,16533,2
14,16533,1
41,16531,4
68,16530,9
38,16529,3
11,16529,3
18,16519,5
70,16519,17
82,16519,28
5,16517,3
86,16510,17
27,16509,4
77,16508,8
30,16507,4
72,16504,17
146,16501,4
50,16501,11
126,16501,17
51,16497,10
44,16496,10
14,16496,3
2,16493,2
14,16492,5
57,16492,11
5,16491,4
2,16489,2
56,16488,2
61,16487,12
32,16486,5
37,16486,10
16,16485,2
17,16485,4
91,16481,24
29,16481,3
39,16480,4
40,16480,4
57,16480,9
45,16479,9
21,16476,3
60,16476,14
27,16476,3
97,16472,9
77,16470,8
192,16470,39
17,16466,3
116,16465,7
2,16465,2
138,16465,30
80,16463,18
141,16463,16
13,16458,5
89,16457,8
131,16456,3
82,16454,18
42,16454,2
8,16453,3
64,16453,4
46,16452,4
79,16451,7
25,16444,6
63,16444,8
6,16444,3
66,16443,6
5,16442,2
31,16441,3
52,16439,6
34,16438,6
66,16438,8
68,16435,8
142,16433,7
50,16433,9
24,16432,4
62,16430,18
76,16430,11
93,16428,22
12,16428,3
8,16428,2
38,16424,9
133,16422,20
119,16421,16
47,16417,12
7,16415,1
203,16413,13
16,16411,1
14,16411,2
18,16410,6
20,16409,4
105,16407,4
80,16405,12
382,16404,39
27,16404,5
47,16402,6
32,16397,7
15,16396,4
5,16395,2
98,16394,12
44,16394,1
80,16393,7
15,16393,2
106,16391,10
32,16391,4
45,16391,5
141,16390,12
3,16388,2
116,16384,10
90,16382,7
21,16382,4
50,16378,5
27,16377,5
66,16375,3
5,16375,1
68,16373,8
15,16370,4
34,16369,5
210,16368,43
26,16365,7
54,16362,6
16,16359,7
93,16358,13
69,16358,2
27,16355,4
136,16350,19
68,16348,8
13,16347,2
118,16344,10
53,16342,10
103,16341,16
65,16340,3
89,16339,12
81,16339,8
11,16334,2
54,16333,3
121,16333,23
67,16331,12
9,16329,2
74,16329,10
121,16327,5
41,16326,15
64,16326,4
18,16323,3
29,16321,8
63,16321,5
34,16319,5
43,16317,3
80,16316,8
34,16316,2
21,16314,3
74,16312,6
71,16311,9
115,16310,20
66,16309,14
77,16309,7
156,16306,6
110,16305,25
19,16303,8
50,16302,7
98,16299,20
148,16298,3
15,16295,3
24,16295,6
16,16294,2
44,16292,7
137,16290,5
11,16289,4
2,16289,2
48,16288,8
88,16285,9
33,16284,15
19,16281,1
104,16281,22
60,16280,4
43,16279,9
7,16274,3
39,16273,8
43,16272,20
76,16271,10
41,16270,4
85,16270,11
4,16266,2
55,16265,6
75,16263,3
40,16260,1
79,16257,9
42,16256,2
21,16255,2
86,16254,5
125,16253,5
25,16252,6
124,16250,26
62,16249,7
102,16249,6
35,16248,10
101,16247,8
186,16247,34
128,16245,16
110,16245,17
13,16244,3
7,16243,3
23,16242,7
62,16241,4
27,16239,5
150,16237,39
57,16237,12
69,16235,6
17,16234,5
83,16234,14
134,16233,13
158,16232,32
81,16231,18
17,16223,1
59,16223,9
46,16222,11
70,16219,15
470,16217,5
43,16214,6
65,16211,5
22,16209,6
56,16206,14
158,16203,21
110,16202,18
50,16201,9
38,16200,5
65,16199,4
112,16197,11
50,16196,6
48,16192,5
84,16191,7
88,16187,7
64,16187,3
10,16186,3
118,16184,12
11,16182,1
79,16181,10
23,16179,9
18,16178,7
21,16178,6
170,16178,11
28,16173,2
14,16172,2
10,16172,3
64,16171,12
7,16169,5
65,16168,4
24,16164,11
4,16163,2
87,16161,20
53,16161,4
112,16156,33
61,16156,4
109,16156,11
27,16150,3
37,16147,2
173,16142,12
23,16140,2
59,16138,4
96,16138,8
152,16137,10
102,16135,8
94,16135,27
85,16134,3
96,16134,19
37,16133,6
170,16132,7
43,16130,6
8,16130,2
46,16128,12
18,16127,3
5,16126,1
35,16124,9
30,16121,6
229,16119,13
63,16115,5
9,16114,1
28,16114,5
122,16113,14
91,16113,10
15,16113,3
86,16112,8
37,16111,8
42,16108,6
48,16104,18
55,16104,3
119,16102,9
31,16101,4
35,16099,5
4,16096,2
72,16096,3
5,16095,3
6,16094,1
53,16093,12
79,16092,13
95,16092,10
39,16092,9
103,16090,7
80,16090,14
11,16089,3
148,16088,10
47,16085,13
74,16085,6
179,16083,28
26,16082,2
50,16082,4
82,16081,19
19,16080,5
49,16076,2
29,16074,4
34,16072,4
44,16069,4
91,16066,18
26,16066,6
156,16065,9
53,16062,9
18,16059,2
88,16058,16
9,16057,1
133,16057,25
29,16055,3
44,16052,9
45,16051,6
67,16050,19
20,16046,2
2,16045,1
14,16044,4
61,16043,11
154,16043,15
18,16038,3
37,16036,3
73,16035,12
3,16034,2
52,16032,3
89,16031,25
46,16028,12
46,16026,10
9,16020,3
45,16019,4
48,16018,11
24,16018,1
35,16018,6
114,16017,19
143,16016,18
105,16014,16
102,16012,12
60,16007,6
54,16004,7
54,16001,8
91,15999,12
55,15999,8
2,15998,1
26,15998,9
11,15997,2
155,15996,19
73,15994,2
56,15994,14
1,15990,1
1,15990,1
1,15990,1
2,15989,1
51,15989,5
36,15988,3
3,15988,1
68,15987,10
41,15986,8
16,15984,1
16,15984,1
6,15978,2
31,15973,6
30,15973,6
78,15971,8
26,15970,4
28,15970,12
13,15969,3
24,15969,2
61,15968,4
69,15965,13
37,15964,10
7,15963,1
6,15963,3
46,15963,6
40,15957,4
72,15953,22
159,15952,9
21,15951,5
18,15951,11
87,15949,8
31,15949,7
21,15948,1
28,15945,3
3,15943,1
274,15943,25
63,15941,6
79,15940,2
19,15940,2
108,15938,21
54,15934,10
17,15933,3
38,15932,2
28,15931,3
24,15926,4
39,15926,8
37,15925,6
70,15921,11
16,15921,12
107,15920,13
132,15920,21
78,15919,18
15,15917,3
71,15915,9
85,15915,19
63,15914,9
65,15912,8
22,15909,4
5,15903,4
36,15901,9
37,15900,8
41,15899,8
41,15897,3
44,15897,3
13,15896,4
31,15892,11
59,15891,11
2,15889,1
148,15889,16
55,15888,7
153,15885,2
73,15884,8
8,15882,2
115,15882,7
114,15881,20
71,15880,9
70,15879,4
17,15879,5
39,15877,6
5,15875,3
54,15873,9
58,15872,7
75,15869,20
110,15867,4
50,15864,7
41,15864,4
41,15861,11
21,15861,7
38,15860,2
21,15859,4
41,15858,5
5,15855,1
28,15855,2
85,15853,6
6,15853,1
35,15848,5
10,15844,3
63,15842,10
12,15842,1
61,15841,8
76,15841,5
40,15841,11
113,15841,4
27,15841,6
1,15831,1
23,15829,2
113,15829,14
53,15823,9
147,15823,29
92,15822,17
90,15821,13
74,15820,16
71,15819,3
69,15813,3
124,15812,17
58,15808,1
52,15807,12
108,15807,9
33,15805,2
17,15803,7
2,15798,1
2,15798,2
22,15797,3
61,15797,6
98,15797,3
19,15796,4
78,15794,16
115,15794,10
68,15792,8
21,15790,6
73,15789,9
2,15789,2
122,15784,13
18,15783,2
25,15781,2
112,15778,11
166,15776,7
48,15776,6
147,15774,7
85,15774,17
65,15771,12
37,15770,2
26,15768,9
7,15768,2
85,15761,7
43,15759,8
115,15758,21
37,15755,4
52,15753,13
51,15751,3
63,15751,14
24,15746,6
16,15744,4
126,15737,4
20,15735,4
87,15734,11
39,15734,1
81,15733,12
11,15729,3
12,15728,1
13,15724,2
90,15722,13
52,15721,10
29,15719,5
118,15716,21
38,15715,4
138,15713,18
17,15710,3
111,15709,2
52,15708,5
101,15707,6
69,15707,7
41,15706,6
77,15706,20
9,15706,6
94,15705,22
33,15703,4
52,15702,8
115,15690,15
2,15689,1
15,15689,2
3,15688,1
58,15688,3
6,15687,2
134,15687,24
16,15684,6
29,15683,8
23,15683,6
83,15682,13
9,15681,2
91,15676,20
11,15671,4
26,15670,1
8,15668,3
15,15668,1
92,15665,22
15,15663,7
8,15662,1
20,15660,5
47,15659,7
115,15658,17
23,15654,6
182,15654,13
27,15653,6
20,15648,4
42,15647,6
46,15642,7
91,15642,19
45,15640,2
56,15639,8
8,15637,1
136,15636,7
36,15633,2
66,15630,7
30,15628,2
11,15627,5
70,15627,13
140,15626,10
29,15624,8
26,15624,8
54,15624,7
45,15620,5
74,15617,2
45,15616,11
26,15616,10
4,15616,2
102,15614,3
63,15613,5
49,15613,1
50,15612,2
26,15606,5
102,15605,4
92,15603,12
118,15600,20
40,15599,3
2,15598,2
40,15597,7
88,15597,9
232,15593,34
34,15591,5
32,15591,4
66,15589,5
23,15589,3
27,15587,1
118,15587,19
152,15584,21
90,15583,12
23,15581,2
131,15581,7
31,15580,6
80,15579,7
10,15578,2
39,15578,9
35,15576,3
51,15576,8
82,15575,7
51,15575,4
6,15574,3
27,15572,7
22,15570,6
18,15568,10
79,15559,16
26,15558,3
35,15556,13
52,15556,7
6,15554,1
538,15553,7
21,15552,7
18,15551,4
44,15549,11
69,15549,15
93,15547,11
44,15547,5
22,15547,2
26,15546,3
66,15546,6
23,15545,1
26,15542,1
91,15541,9
69,15540,10
93,15539,10
22,15537,2
61,15531,5
67,15529,30
70,15527,9
17,15527,6
30,15518,4
12,15518,3
9,15518,2
35,15516,6
107,15516,21
81,15516,11
61,15515,5
20,15514,2
35,15511,2
49,15507,4
5,15505,2
97,15505,8
32,15504,5
19,15502,5
24,15502,2
28,15502,3
10,15501,4
51,15500,3
57,15500,5
123,15499,10
132,15497,29
32,15497,5
21,15493,7
2,15490,1
84,15489,8
69,15488,5
108,15486,20
71,15485,16
36,15484,7
130,15483,8
117,15483,5
84,15480,6
121,15478,20
39,15477,5
125,15473,10
52,15471,8
50,15470,12
47,15469,1
76,15469,5
209,15469,3
34,15469,5
67,15468,12
28,15466,5
84,15466,18
65,15463,4
17,15463,9
213,15462,9
42,15462,4
95,15462,15
105,15460,9
8,15460,3
61,15458,10
28,15455,6
44,15455,5
36,15454,6
107,15453,11
105,15453,9
23,15449,4
84,15449,16
43,15448,7
24,15447,5
111,15441,7
30,15436,8
33,15434,5
41,15433,12
70,15433,11
23,15426,4
12,15426,2
45,15425,7
32,15420,8
58,15418,18
61,15416,17
35,15414,3
87,15414,16
30,15410,1
14,15408,3
12,15406,1
64,15406,4
47,15405,4
19,15404,4
40,15404,1
65,15403,9
63,15401,6
2,15399,1
81,15399,7
69,15398,7
3,15397,2
36,15394,4
55,15390,5
73,15389,3
38,15388,5
46,15387,13
54,15387,8
65,15387,13
115,15380,17
102,15380,16
154,15380,4
62,15378,9
27,15376,7
128,15373,24
66,15371,10
75,15370,9
35,15369,9
11,15369,4
20,15367,7
71,15367,12
96,15365,5
13,15361,3
9,15361,4
63,15360,2
145,15360,8
45,15359,6
16,15357,2
53,15356,9
20,15354,4
54,15352,5
155,15352,17
76,15348,11
32,15347,2
23,15345,5
25,15345,10
4,15343,1
67,15343,8
27,15342,1
10,15340,5
46,15339,10
44,15338,2
9,15336,2
44,15335,10
21,15335,2
91,15334,13
29,15329,6
78,15325,11
91,15324,14
7,15323,3
39,15320,8
84,15319,23
40,15316,10
33,15315,2
93,15314,6
44,15313,3
51,15311,9
69,15311,1
43,15308,7
12,15307,1
13,15307,1
16,15304,1
51,15303,3
68,15302,10
86,15302,5
59,15294,4
20,15292,4
80,15291,10
24,15291,3
27,15290,8
19,15289,8
51,15288,16
54,15286,12
5,15282,2
39,15281,2
40,15281,6
56,15280,5
21,15279,1
12,15278,3
39,15277,1
57,15277,5
14,15276,1
109,15276,9
37,15274,6
62,15273,6
61,15273,8
38,15270,5
67,15270,1
26,15265,7
55,15264,9
15,15263,3
24,15262,8
54,15261,5
68,15261,11
54,15259,5
50,15259,4
89,15255,5
79,15255,10
45,15255,12
48,15254,10
14,15249,2
97,15248,7
20,15246,6
94,15244,12
136,15243,12
31,15242,1
56,15241,17
45,15241,4
112,15240,5
14,15239,2
13,15238,4
75,15235,19
91,15233,20
68,15229,13
86,15229,8
202,15228,23
34,15228,5
25,15226,5
105,15226,9
47,15226,9
153,15225,23
40,15225,3
53,15224,11
74,15224,9
113,15222,9
43,15221,3
56,15221,12
11,15219,7
26,15219,3
61,15219,13
67,15218,10
157,15217,11
10,15215,1
25,15215,4
29,15215,5
45,15210,2
57,15202,8
68,15202,3
21,15197,6
46,15197,5
30,15195,3
87,15193,2
33,15192,7
30,15188,8
58,15185,9
105,15184,5
35,15184,3
73,15183,7
26,15183,1
78,15182,24
39,15180,15
11,15179,3
121,15174,3
31,15173,2
28,15172,4
119,15171,29
45,15169,9
39,15165,10
51,15165,6
7,15164,2
7,15164,5
83,15162,8
75,15160,8
2,15159,1
76,15159,17
66,15158,15
19,15157,5
61,15157,5
49,15153,14
23,15153,2
56,15152,11
9,15151,2
46,15149,4
11,15149,4
21,15146,4
29,15145,3
57,15143,7
151,15143,10
17,15142,5
9,15141,1
80,15138,10
64,15136,4
28,15132,2
81,15132,13
157,15131,11
35,15130,1
255,15129,5
17,15129,3
23,15128,8
73,15127,18
77,15125,21
54,15124,5
76,15121,6
21,15120,1
35,15120,9
29,15117,8
40,15114,8
21,15110,3
9,15108,2
53,15104,3
53,15103,2
58,15101,14
101,15099,3
29,15098,3
3,15097,2
29,15096,5
30,15096,6
55,15095,5
11,15094,3
41,15094,2
8,15092,1
55,15089,9
46,15089,11
85,15088,3
42,15085,3
4,15083,1
74,15077,4
13,15076,6
93,15075,16
135,15071,8
17,15069,2
181,15067,15
31,15065,4
25,15063,7
96,15063,13
14,15063,4
141,15062,12
54,15062,11
65,15060,14
51,15058,5
122,15056,12
61,15054,3
7,15053,1
66,15051,13
95,15051,19
68,15051,9
18,15051,2
28,15050,5
48,15049,10
20,15049,6
14,15046,2
106,15046,17
20,15043,7
45,15040,7
38,15038,8
24,15035,3
13,15033,1
19,15032,3
60,15032,6
119,15031,11
86,15030,9
58,15030,11
86,15030,8
33,15029,8
9,15027,2
5,15027,1
60,15025,10
9,15023,5
9,15017,3
206,15016,9
51,15016,9
6,15015,1
75,15015,13
59,15013,22
39,15011,2
30,15009,4
50,15005,3
38,15000,3
30,14999,5
2,14998,1
2,14998,1
2,14998,1
6,14994,1
18,14992,3
10,14991,2
105,14991,8
1,14990,1
1,14990,1
57,14990,3
1,14990,1
85,14990,4
1,14990,1
1,14990,1
2,14989,1
13,14988,1
193,14988,27
40,14987,3
47,14983,8
83,14983,20
121,14983,14
57,14982,8
25,14982,2
57,14981,18
65,14979,11
50,14978,6
159,14978,23
21,14978,6
43,14976,4
42,14975,15
59,14974,12
11,14973,2
30,14972,3
57,14970,9
44,14969,5
39,14968,9
3,14967,3
60,14967,17
11,14966,4
21,14965,4
77,14964,10
6,14961,1
26,14961,3
17,14960,5
31,14959,3
62,14958,1
26,14958,3
86,14955,12
14,14952,3
27,14952,4
126,14952,9
39,14940,7
18,14931,2
83,14931,9
50,14930,8
27,14930,7
18,14926,9
11,14924,3
25,14923,4
48,14922,13
121,14921,14
30,14921,7
93,14921,10
8,14919,3
49,14917,9
5,14916,3
89,14912,7
18,14912,4
218,14911,9
75,14907,11
58,14906,11
159,14906,3
97,14905,2
65,14904,10
117,14901,8
119,14900,3
8,14899,2
56,14896,7
98,14896,10
29,14890,9
115,14890,19
71,14889,9
53,14887,2
21,14886,3
16,14886,3
8,14883,4
3,14879,1
34,14876,3
32,14875,2
25,14875,6
100,14872,4
80,14870,9
2,14869,1
59,14868,5
46,14867,10
84,14865,8
60,14860,14
49,14857,2
27,14857,4
19,14855,8
39,14851,5
39,14847,2
81,14846,8
51,14844,8
33,14842,6
43,14840,3
74,14839,14
34,14839,5
26,14837,2
29,14835,3
54,14833,20
38,14833,10
26,14830,1
21,14830,7
57,14829,6
99,14829,8
66,14828,9
22,14828,6
80,14827,25
26,14827,4
22,14827,5
50,14825,7
153,14824,11
77,14818,5
35,14817,1
50,14817,1
10,14813,3
122,14810,12
68,14810,9
76,14809,9
95,14809,9
195,14806,8
66,14805,15
117,14802,4
51,14802,11
205,14802,10
23,14802,5
25,14802,7
100,14800,4
2,14799,2
27,14799,5
3,14797,1
4,14796,1
46,14795,6
54,14793,8
18,14793,4
12,14791,1
117,14791,9
57,14791,20
14,14791,3
35,14790,13
92,14789,14
58,14786,8
79,14784,21
4,14782,1
50,14781,10
11,14781,4
15,14779,2
25,14779,6
72,14777,11
48,14775,10
38,14775,12
23,14773,7
49,14771,4
20,14768,5
29,14768,3
144,14767,19
16,14767,6
52,14766,13
99,14764,23
5,14764,4
112,14762,6
63,14762,11
34,14761,4
23,14759,9
26,14759,4
69,14758,18
14,14753,3
53,14750,12
84,14747,13
88,14745,16
14,14745,6
22,14744,5
192,14743,14
12,14741,3
141,14740,5
35,14739,8
18,14737,5
13,14737,3
6,14736,2
9,14735,4
30,14735,6
36,14730,4
75,14728,12
56,14727,11
219,14722,14
28,14721,7
123,14721,9
96,14721,6
30,14719,12
48,14717,7
9,14716,3
108,14716,5
36,14715,6
5,14715,4
114,14714,3
50,14713,5
51,14712,5
28,14712,8
30,14712,6
4,14707,1
24,14705,8
38,14704,12
56,14703,14
21,14700,7
63,14698,10
38,14695,4
13,14694,6
7,14692,6
74,14692,4
105,14692,24
12,14691,7
47,14691,11
37,14691,5
35,14688,3
128,14688,11
37,14688,8
38,14688,11
17,14687,3
46,14683,4
85,14681,25
81,14680,6
22,14678,4
