total_quantity,total_amount,unique_visits
500,119797,29
358,119744,17
350,119610,22
279,119598,6
770,119355,79
571,119047,53
514,118954,38
324,118933,45
99,118924,9
39,118257,9
310,118128,33
377,117611,64
147,117597,4
167,117386,15
63,117381,8
497,117208,45
206,117072,11
269,117022,7
334,116967,64
145,116790,16
343,116589,10
219,116453,8
571,116310,71
284,116300,12
275,116241,20
674,116180,43
548,115982,34
290,115917,21
373,115794,46
655,115706,52
623,115663,66
638,115644,69
769,115639,84
437,115636,20
221,115540,43
404,115353,45
339,115349,5
365,115294,21
243,115254,34
310,115072,25
269,114978,55
306,114941,7
221,114743,44
406,114563,22
138,114411,6
680,114298,154
230,114202,17
445,114143,28
480,114093,38
285,114049,14
154,114004,57
665,113959,27
461,113950,17
282,113894,19
410,113702,31
523,113494,16
245,113434,29
150,113330,9
132,113236,4
155,113075,10
630,113009,26
226,112824,8
354,112498,11
292,112416,33
483,112401,15
373,112359,96
474,112033,22
289,111844,13
235,111630,23
430,111595,29
530,111577,40
413,111513,35
418,111509,23
435,111331,44
149,111276,25
496,111162,67
921,111132,54
483,110956,18
295,110768,21
386,110545,50
101,110443,16
229,110317,13
342,110284,32
496,110032,4
204,109973,29
788,109882,47
664,109864,68
606,109649,37
494,109601,76
211,109580,11
225,109567,21
185,109566,18
215,109421,6
325,109370,35
270,109343,18
223,109331,42
141,109263,6
290,109240,12
128,109232,4
225,109031,21
194,108888,13
256,108857,4
117,108780,11
529,108733,49
290,108643,22
103,108634,10
329,108619,56
625,108584,37
436,108467,54
502,108335,81
388,108048,38
398,108011,44
346,107947,25
447,107912,43
384,107746,31
226,107701,21
503,107687,61
478,107608,39
217,107505,15
265,107406,8
110,107367,22
557,107333,32
329,107323,36
396,107256,34
538,107211,59
170,107208,23
122,107207,9
457,107158,46
461,107059,49
490,106943,85
294,106923,29
94,106881,4
245,106839,27
451,106673,10
162,106641,16
323,106566,33
386,106548,78
41,106230,2
374,106104,29
210,106054,7
245,106012,43
356,105987,61
185,105944,20
161,105944,3
304,105894,48
135,105828,23
1583,105775,3
218,105718,33
517,105680,56
490,105572,25
