item,total_amount,cumulative_percent,ABC_group
sku7488,489658,17.5521539889971,A
sku14640,487383,17.62968764043174,A
sku3211,485745,17.706960716259413,A
sku6770,482328,17.783690210372185,A
sku8578,481538,17.860294030046923,A
sku30532,474878,17.935838366484543,A
sku7333,474021,18.011246370019133,A
sku18084,473082,18.086504995962184,A
sku14695,469368,18.161172792964898,A
sku24179,462876,18.234807832433773,A
sku25537,457736,18.307625192647578,A
sku29094,455833,18.380139820639126,A
sku26028,453163,18.452229700846427,A
sku550,452897,18.524277265356872,A
sku17562,446264,18.595269641832513,A
sku13016,445403,18.66612504907885,A
sku14837,440957,18.73627317967771,A
sku21426,438704,18.806062899505815,A
sku24700,437638,18.875683038383354,A
sku29962,436045,18.94504976032445,A
sku24385,435393,19.014312761083772,A
sku25146,431956,19.083028998496857,A
sku17583,431891,19.151734895608076,A
sku28814,430112,19.22015778661136,A
sku8752,429244,19.288442594814377,A
sku1265,425597,19.35614723254205,A
sku21507,419566,19.422892449338338,A
sku7321,418798,19.48951549149107,A
sku478,418211,19.55604515276389,A
sku28944,416186,19.622252673863265,A
sku25349,415015,19.688273910447524,A
sku5918,414914,19.754279079793502,A
sku21422,413501,19.82005946688512,A
sku1634,413015,19.88576254033511,A
sku14617,412788,19.951429502269363,A
sku27371,410917,20.016798822591504,A
sku24584,410777,20.08214587149425,A
sku22828,408300,20.147098875355205,A
sku14107,407213,20.21187895755268,A
sku9787,406652,20.276569794990994,A
sku10683,406328,20.34120909000156,A
sku7874,405249,20.405676736001187,A
sku5462,404265,20.469987845738753,A
sku30378,402164,20.53396472510377,A
sku859,398117,20.59729780136659,A
sku1351,396035,20.66029966980664,A
sku6051,395035,20.723142456679554,A
sku24855,392907,20.78564671797761,A
sku3771,392487,20.848084165017468,A
sku9465,392359,20.91050124961673,A
sku7884,390298,20.97259046710613,A
sku13383,388171,21.034341318102236,A
sku15188,387177,21.09593404202061,A
sku22279,387173,21.157526129612716,A
sku7315,384911,21.218758374699963,A
sku27930,383488,21.27976424671718,A
sku6316,383285,21.340737825176266,A
sku21414,382671,21.40161372755313,A
sku17674,381889,21.4623652281445,A
sku11277,378931,21.522646165460284,A
sku2339,376082,21.5824738793913,A
sku23200,376059,21.642297934446276,A
sku25361,373875,21.70177455535863,A
sku22829,372293,21.760999509231773,A
sku17233,372258,21.820218895250072,A
sku21216,371008,21.87923942930945,A
sku3569,370596,21.938194421763168,A
sku14706,369576,21.99698715101841,A
sku14115,369038,22.055694294390534,A
sku8963,368716,22.114350213498042,A
sku19447,361737,22.171895902348517,A
sku697,361125,22.229344233279907,A
sku5903,360050,22.28662155152663,A
sku13941,359528,22.343815829195304,A
sku28734,355912,22.400434867917223,A
sku1799,355902,22.45705231582347,A
sku10573,355784,22.513650992104797,A
sku8816,353400,22.569870417930073,A
sku17782,352176,22.62589512791718,A
sku14878,351733,22.68184936477004,A
sku3459,351214,22.737721038289564,A
sku12570,349439,22.79331034202742,A
sku7572,349141,22.848852239458274,A
sku29620,349032,22.904376796998307,A
sku26806,346305,22.959467539104768,A
sku15904,346069,23.014520737961384,A
sku22214,346030,23.069567732636877,A
sku13695,341733,23.1239311538184,A
sku1947,341302,23.178226010844487,A
sku17654,341136,23.23249446033043,A
sku1209,339620,23.286521742160595,A
sku22411,334195,23.339686006489053,A
sku13851,334109,23.392836589802744,A
sku20316,332846,23.445786253097143,A
sku21237,332113,23.49861930960283,A
sku3395,331170,23.55130235219071,A
sku5009,329986,23.603797042203105,A
sku25902,329585,23.656227940507076,A
sku14274,329142,23.708588365676807,A
sku23893,328361,23.760824548142608,A
sku13557,328323,23.81305468550886,A
sku13211,327726,23.865189851179526,A
sku21098,326472,23.917125528565013,A
