item,mean,std,cv,XYZ_group
sku1,1.375,0.5175491695067657,37.63993960049205,Z
sku10,2.0,1.224744871391589,61.23724356957945,Z
sku100,1.396551724137931,0.8834646258495222,63.26042999910159,Z
sku1000,1.2682926829268293,0.6675693978407442,52.635279445135595,Z
sku10000,2.4838709677419355,2.908275178886797,117.08640330583209,Z
sku10001,2.0,2.4083189157584592,120.41594578792296,Z
sku10002,1.0,0.0,0.0,X
sku10003,1.0,0.0,0.0,X
sku10004,4.333333333333333,6.21825270205921,143.49813927828947,Z
sku10005,1.0,0.0,0.0,X
sku10007,3.161290322580645,2.8982388569108815,91.67898424922176,Z
sku10008,2.141304347826087,1.2973474353051988,60.586783780750395,Z
sku10009,1.025,0.15811388300841894,15.42574468374819,Y
sku10010,1.0,0.0,0.0,X
sku10011,1.0588235294117647,0.24253562503633308,22.906142364542568,Y
sku10012,1.652542372881356,1.206688260823161,73.02011014211949,Z
sku10013,1.0,0.0,0.0,X
sku10014,1.25,0.5773502691896257,46.18802153517006,Z
sku10015,1.0,0.0,0.0,X
sku10016,3.5,0.7071067811865476,20.203050891044217,Y
sku10017,2.0,0.816496580927726,40.8248290463863,Z
sku10018,1.50625,1.2182928307199579,80.88251158306774,Z
sku10019,1.3157894736842106,0.8089119538462708,61.477308492316574,Z
sku1002,2.1666666666666665,1.9462473604038073,89.8268012494065,Z
sku10020,1.6382978723404256,1.1117071070888664,67.8574467963334,Z
sku10021,1.0,0.0,0.0,X
sku10023,1.35,0.7451598203705947,55.197023731155156,Z
sku10024,1.25,0.5,40.0,Z
sku10025,1.0909090909090908,0.30151134457776363,27.638539919628336,Z
sku10026,1.0,0.0,0.0,X
sku10027,2.6666666666666665,1.7511900715418263,65.66962768281849,Z
sku10028,1.0,0.0,0.0,X
sku1003,1.0,0.0,0.0,X
sku10030,1.1578947368421053,0.3746343246326776,32.354782581913064,Z
sku10031,1.0,0.0,0.0,X
sku10032,1.3529411764705883,0.6063390625908326,44.816365495844146,Z
sku10033,1.1666666666666667,0.4945591416491505,42.39078356992718,Z
sku10034,2.0,1.0,50.0,Z
sku10035,1.4,0.5477225575051661,39.123039821797576,Z
sku10036,3.791411042944785,2.809714162629318,74.10734765510985,Z
sku10037,1.0434782608695652,0.20851441405707485,19.98263134713634,Y
sku10038,3.690909090909091,2.7747053715646817,75.17674652022536,Z
sku10039,1.1343283582089552,0.34357842332065336,30.289150476952337,Z
sku1004,1.0,0.0,0.0,X
sku10041,1.0,0.0,0.0,X
sku10042,1.1538461538461537,0.5547001962252291,48.07401700618653,Z
sku10043,1.290909090909091,0.6575129141874191,50.93409898634936,Z
sku10044,1.0,0.0,0.0,X
sku10045,2.9,2.5010202000016566,86.24207586212609,Z
sku10046,1.0,0.0,0.0,X
sku10047,1.0,0.0,0.0,X
sku10048,2.4444444444444446,1.8782379449307742,76.83700683807713,Z
sku10049,1.25,0.4629100498862757,37.03280399090206,Z
sku1005,1.0,0.0,0.0,X
sku10050,1.75,0.9574271077563381,54.710120443219324,Z
sku10051,3.0,1.4142135623730951,47.14045207910317,Z
sku10052,1.375,0.6468989572333266,47.04719688969648,Z
sku10054,1.6818181818181819,1.249242194534775,74.2792656209866,Z
sku10055,1.6341463414634145,1.260081298190232,77.10945257582019,Z
sku10056,4.0,2.7688746209726918,69.2218655243173,Z
sku10057,1.40625,1.623603618398721,115.4562573083535,Z
sku10058,1.75,0.5,28.57142857142857,Z
sku10059,1.5,0.5773502691896257,38.49001794597505,Z
sku1006,1.6355932203389831,1.043213757686864,63.78198103992225,Z
sku10060,2.081081081081081,1.75401726803831,84.2839466459967,Z
sku10061,2.9365079365079363,2.442057671989565,83.16196396505006,Z
sku10062,1.0,0.0,0.0,X
sku10063,1.0,0.0,0.0,X
sku10064,3.186991869918699,3.597243009642963,112.8726760678787,Z
sku10065,1.236180904522613,0.7910467987517169,63.99118412666328,Z
sku10066,1.1666666666666667,0.4815434123430768,41.275149629406584,Z
sku10067,1.0,0.0,0.0,X
sku10068,16.846153846153847,13.673856770288292,81.16901279166566,Z
sku10069,2.642857142857143,1.339272486707165,50.67517517270355,Z
sku1007,1.1590909090909092,0.36998942902446824,31.92065662171883,Z
sku10070,1.0,0.0,0.0,X
sku10072,1.1111111111111112,0.3333333333333333,30.0,Z
sku10073,1.0,0.0,0.0,X
sku10074,1.2857142857142858,0.9023778112773574,70.18494087712779,Z
sku10075,1.4444444444444444,0.7264831572567789,50.29498781008469,Z
sku10076,5.142857142857143,4.0178174601214955,78.1242283912513,Z
sku10077,1.0,0.0,0.0,X
sku10078,1.1176470588235294,0.3321055820775357,29.714709975358456,Z
sku10079,1.868421052631579,1.1893912281494519,63.657558689688976,Z
sku10080,1.0,0.0,0.0,X
sku10082,6.214285714285714,10.10847756496094,162.66515621776225,Z
sku10083,5.384057971014493,5.712916737955225,106.10800939943755,Z
sku10084,1.8666666666666667,1.0600988273786194,56.79100860956889,Z
sku10085,1.3,0.5712405705774795,43.9415823521138,Z
sku10087,1.6428571428571428,1.5984195491000022,97.29510298869579,Z
sku10088,2.466666666666667,2.3596220231117573,95.66035228831447,Z
sku10089,4.928571428571429,2.921124275508838,59.269188198730035,Z
sku1009,1.5,1.6309506430300091,108.73004286866728,Z
sku10090,3.5,3.5355339059327378,101.01525445522108,Z
sku10091,1.0,0.0,0.0,X
sku10092,1.3333333333333333,0.5773502691896257,43.30127018922193,Z
sku10093,2.0,1.4142135623730951,70.71067811865476,Z
sku10094,1.5365853658536586,0.8971499589146108,58.385949707141336,Z
